ID,Sentence,Description,App names,Owner,State,Updated at
317079729,"When Status changes to Reassemble
 and only if Technician is assigned to Andres Egas move item to Andres",,"","Maksym Shtanko","active","Sep 3, 2024, 9:04 AM"
330530503,"When Technician is assigned and only if Technician is assigned to Safan Patel move item to Safan (Short Deadline)",,"","Maksym Shtanko","active","Sep 3, 2024, 9:04 AM"
135165968,"When Status changes to Ready to Quote
 move item to Client Services - To Do",,"","Maksym Shtanko","active","Sep 3, 2024, 9:04 AM"
296270417,"When a status changes to something, send a webhook",,"Webhooks","Ricky Panesar","not_connected","Aug 28, 2024, 10:31 PM"
328789674,"When Status changes to Reassemble
 and only if Technician is assigned to Mykhailo Kepeshchuk move item to Mykhailo",,"","Michael Ferrari","active","Aug 13, 2024, 1:37 PM"
328788651,"When Status changes to Queued For Repair
 and only if Technician is assigned to Mykhailo Kepeshchuk move item to Mykhailo",,"","Michael Ferrari","active","Aug 13, 2024, 1:34 PM"
328773856,"When Technician is assigned and only if Technician is assigned to Mykhailo Kepeshchuk move item to Mykhailo",,"","Michael Ferrari","active","Aug 13, 2024, 12:37 PM"
316954206,"When an item is created or updated, create an event in Google Calendar, and sync future changes from this board",,"Google Calendar","Ricky Panesar","not_connected","Jul 7, 2024, 8:56 PM"
258771358,"When Tech Repair Status changes, send a webhook",,"Webhooks","Gabriel Barr","deactivated","Jun 26, 2024, 10:33 AM"
259345048,"When Tech Repair Status changes to Active, send a webhook",,"Webhooks","Gabriel Barr","deactivated","Jun 22, 2024, 1:30 PM"
