ID,Sentence,Description,App names,Owner,State,Updated at
79519687,"When Status changes to Diagnostic Complete
 and only if Client is not BM move item to Awaiting Confirmation of Price",,"","Maksym Shtanko","active","Nov 18, 2025, 9:40 AM"
466963163,"When Status changes to Part Repaired
 and if Parts Used is not empty notify Mike McAdam and move item to group",,"","Mike McAdam","deactivated","Nov 10, 2025, 1:41 PM"
161355079,"When Status changes to Password Req
 and only if Notifications is ON move item to Client Services - Awaiting Confirmation",,"","Maksym Shtanko","active","Nov 7, 2025, 1:02 PM"
493570056,"When Status changes to Password Req
 and only if Notifications is OFF move item to Client Services - To Do",,"","Mike McAdam","active","Nov 7, 2025, 1:01 PM"
338493656,"When Status changes to Diagnostic Complete
 and only if Client is not BM notify Michael Ferrari",,"","Mike McAdam","active","Nov 6, 2025, 11:00 AM"
489426254,"When an item is moved to Outbound Shipping and only if Service is Unconfirmed set Service to Mail-In",,"","Mike McAdam","active","Oct 29, 2025, 4:34 PM"
488623832,"When Technician is assigned and only if Technician is assigned to Client Services move item to Adil",,"","Michael Ferrari","active","Oct 28, 2025, 11:31 AM"
475267570,"When Status changes to Received
 and only if Service is not Walk-In and only if Info Capture is not Info Validated and only if Client is not BM and only if Client is not Corporate set Status to Client To Contact and set Info Capture to Not Filled and notify Michael Ferrari",,"","Michael Ferrari","active","Oct 23, 2025, 3:09 PM"
482555797,"When Device changes and only if Repair Type is Trade-In notify Michael Ferrari",,"","Michael Ferrari","active","Oct 14, 2025, 2:21 PM"
339375219,"When Status changes to Ready To Collect
 and only if Service is not Walk-In and only if Client is not BM move item to Outbound Shipping and set Status to Book Return Courier",,"","Mike McAdam","active","Oct 14, 2025, 12:21 PM"
482498532,"When Status changes from Under Refurb to Repaired
 and only if Technician is assigned to Mykhailo Kepeshchuk Assign (replace) Mykhailo Kepeshchuk as Refurb",,"","Michael Ferrari","active","Oct 14, 2025, 12:09 PM"
482498477,"When Status changes from Under Refurb to Repaired
 and only if Technician is assigned to Roni Mykhailiuk Assign (replace) Roni Mykhailiuk as Refurb",,"","Michael Ferrari","active","Oct 14, 2025, 12:08 PM"
482498431,"When Status changes from Under Refurb to Repaired
 and only if Technician is assigned to Andres Egas Assign (replace) Andres Egas as Refurb",,"","Michael Ferrari","active","Oct 14, 2025, 12:08 PM"
482498342,"When Status changes from Under Refurb to Repaired
 and only if Technician is assigned to Mike McAdam Assign (replace) Mike McAdam as Refurb",,"","Michael Ferrari","active","Oct 14, 2025, 12:08 PM"
482498216,"When Status changes from Under Repair to Repaired
 and only if Technician is assigned to Mike McAdam Assign (replace) Mike McAdam as Repair",,"","Michael Ferrari","active","Oct 14, 2025, 12:07 PM"
482498139,"When Status changes from Under Repair to Repaired
 and only if Technician is assigned to Andres Egas Assign (replace) Andres Egas as Repair",,"","Michael Ferrari","active","Oct 14, 2025, 12:07 PM"
482498095,"When Status changes from Under Repair to Repaired
 and only if Technician is assigned to Roni Mykhailiuk Assign (replace) Roni Mykhailiuk as Repair",,"","Michael Ferrari","active","Oct 14, 2025, 12:06 PM"
482497012,"When Status changes from Under Repair to Repaired
 and only if Technician is assigned to Safan Patel Assign (replace) Safan Patel as Repair",,"","Michael Ferrari","active","Oct 14, 2025, 12:06 PM"
115492627,"When Status changes to Repaired
 and if Parts Used is not empty and only if Client is not BM set Date Repaired to today and move item to Quality Control and notify Mike McAdam",,"","Maksym Shtanko","active","Oct 10, 2025, 11:44 AM"
458670657,"When Status changes to Repaired
 and if Parts Used is not empty and only if Client is BM set Date Repaired to today and move item to Quality Control and notify Andres Egas",,"","Mike McAdam","active","Oct 10, 2025, 11:42 AM"
351394248,"When Status changes to Received
 clear Booking Time",,"","Mike McAdam","active","Oct 10, 2025, 10:38 AM"
450959488,"When Repair Type changes to Purchased
 and only if Status is Awaiting Confirmation move item to BMs No repair / iCloud and clear Technician and set Status to Queued For Repair and set Client to BM and set Service to Mail-In",,"","Michael Ferrari","deactivated","Oct 9, 2025, 12:42 PM"
478837222,"When Status changes to Quote Sent
 and if Quote Sent is empty set Quote Sent to today",,"","Michael Ferrari","active","Oct 4, 2025, 11:12 AM"
478836826,"When Status changes to Diagnostic Complete
 and if Diag. Complete is empty set Diag. Complete to today",,"","Michael Ferrari","active","Oct 4, 2025, 11:12 AM"
478837686,"When Status changes from Under Refurb to Repaired
 and only if Repair Type is Diagnostic set Repaired to today",,"","Michael Ferrari","active","Oct 4, 2025, 11:10 AM"
478837287,"When Status changes from Under Repair to Repaired
 and only if Repair Type is Diagnostic set Repaired to today",,"","Michael Ferrari","active","Oct 4, 2025, 11:09 AM"
441937418,"When Status changes to Repaired
 and only if Problem (Repair) is Stuck set Problem (Repair) to Solved",,"","Mike McAdam","active","Sep 25, 2025, 12:56 PM"
429075536,"When Parts Status changes to No Stock
 and if Part to Order is not empty clear **Deadline** and move item to Awaiting Parts and notify Michael Ferrari",,"","Michael Ferrari","active","Sep 25, 2025, 12:55 PM"
472186986,"When Info Capture changes to Not Filled
 set Status to Client To Contact",,"","Michael Ferrari","active","Sep 17, 2025, 3:54 PM"
157225250,"When Status changes to Book Courier and only if Service is Stuart Courier and only if Courier Collection is not Booking Complete set Courier Collection to Attempting Booking",,"","Maksym Shtanko","deactivated","Sep 8, 2025, 6:45 PM"
157225010,"When Status changes to Book Return Courier and only if Service is Stuart Courier and only if Courier Return is not Booking Complete set Courier Return to Attempting Booking",,"","Maksym Shtanko","deactivated","Sep 8, 2025, 6:45 PM"
204008466,"When Status changes to Book Courier and only if Service is Gophr Express and only if Courier Collection is not Booking Complete set Courier Collection to Attempting Booking",,"","Maksym Shtanko","deactivated","Sep 8, 2025, 6:45 PM"
204008419,"When Status changes to Book Return Courier and only if Service is Gophr Express and only if Courier Return is not Booking Complete set Courier Return to Attempting Booking",,"","Maksym Shtanko","deactivated","Sep 8, 2025, 6:45 PM"
33350842,"When Status changes to Book Courier and only if Service is Gophr Courier and only if Courier Collection is not Booking Complete set Courier Collection to Attempting Booking",,"","Maksym Shtanko","deactivated","Sep 8, 2025, 6:44 PM"
33745960,"When Status changes to Book Return Courier and only if Service is Gophr Courier and only if Courier Return is not Booking Complete set Courier Return to Attempting Booking",,"","Maksym Shtanko","deactivated","Sep 8, 2025, 6:44 PM"
344114608,"When Status changes to Client Contacted
 and only if Client is not BM move item to Client Services - Awaiting Confirmation",,"","Michael Ferrari","active","Aug 28, 2025, 3:53 PM"
340118443,"When Booking Time arrives and only if Service is not Mail-In and if Received is empty and only if Status is not Awaiting Confirmation move item to Today's Repairs",,"","Mike McAdam","active","Aug 22, 2025, 9:23 AM"
458670105,"When Status changes to Repaired
 and only if Problem (Repair) is Deadline Delay set Problem (Repair) to Solved",,"","Mike McAdam","active","Aug 14, 2025, 1:36 PM"
458670068,"When Status changes to Repaired
 and only if Problem (Repair) is Solving set Problem (Repair) to Solved",,"","Mike McAdam","active","Aug 14, 2025, 1:35 PM"
456510291,"When Status changes to Software Install
 and only if Technician is assigned to Andres Egas move item to Andres",,"","Mike McAdam","active","Aug 8, 2025, 3:52 PM"
456509728,"When Status changes to QC Failure
 and only if Technician is assigned to Roni Mykhailiuk move item to Roni",,"","Mike McAdam","active","Aug 8, 2025, 3:51 PM"
456509194,"When Status changes to Queued For Repair
 and only if Technician is assigned to Roni Mykhailiuk move item to Roni",,"","Mike McAdam","active","Aug 8, 2025, 3:50 PM"
456508980,"When Status changes to Software Install
 and only if Technician is assigned to Roni Mykhailiuk move item to Roni",,"","Mike McAdam","active","Aug 8, 2025, 3:50 PM"
456508014,"When Status changes to Reassemble
 and only if Technician is assigned to Roni Mykhailiuk move item to Roni",,"","Mike McAdam","active","Aug 8, 2025, 3:47 PM"
456507728,"When Technician is assigned and only if Technician is assigned to Roni Mykhailiuk move item to Roni",,"","Mike McAdam","active","Aug 8, 2025, 3:47 PM"
449355354,"When Add to enquiries clicked create an item in Enquiries and connect iCorrect Main Board with column",,"","Michael Ferrari","active","Jul 22, 2025, 10:19 AM"
443069923,"When an item is created create an item in Client Information Capture and connect iCorrect Main Board&Client Information Capture with Link - Client Information Capture",,"","Mike McAdam","active","Jul 4, 2025, 11:22 AM"
442073587,"When Problem (Repair) changes to Deadline Delay
 notify Mike McAdam and notify Ricky Panesar and notify Michael Ferrari",,"","Mike McAdam","active","Jul 2, 2025, 10:38 AM"
