listing_no,status,history_count,export_uuid,export_backmarket_id,export_sku,title,catalog_colour,quantity,status_text,export_grade,reasons
1451267,vetted_exact,1,dd11d898-29e5-4d3e-b932-14fb1bea537e,240091,iPXR.Red.256GB.VeryGood,iPhone XR 256GB - Rot - Ohne Vertrag,,0,Price or comment missing,VERY_GOOD,
1451201,vetted_exact,2,2e06a8bc-4b47-4917-bc32-9a29a68101af,161661,iPXR.Coral.64GB.VeryGood,iPhone XR 64GB - Koralle - Ohne Vertrag,,0,Price or comment missing,VERY_GOOD,
1451199,vetted_product_lineage,0,2e06a8bc-4b47-4917-bc32-9a29a68101af,161661,iPXR.Coral.64GB.Stallone,iPhone XR 64GB - Koralle - Ohne Vertrag,,0,Price or comment missing,STALLONE,no direct listing history; vetted by product lineage
1451196,vetted_product_lineage,0,2e06a8bc-4b47-4917-bc32-9a29a68101af,161661,iPXR.Coral.64GB.Good,iPhone XR 64GB - Koralle - Ohne Vertrag,,0,Price or comment missing,GOOD,no direct listing history; vetted by product lineage
1451195,vetted_product_lineage,0,2e06a8bc-4b47-4917-bc32-9a29a68101af,161661,iPXR.Coral.64GB.Fair,iPhone XR 64GB - Koralle - Ohne Vertrag,,0,Price or comment missing,FAIR,no direct listing history; vetted by product lineage
1451186,vetted_exact,1,d1f26a30-114e-4172-ac64-060eb5ec9869,199320,iPXR.Coral.128GB.VeryGood,iPhone XR 128GB - Koralle - Ohne Vertrag,,0,Price or comment missing,VERY_GOOD,
1451183,vetted_product_lineage,0,d1f26a30-114e-4172-ac64-060eb5ec9869,199320,iPXR.Coral.128GB.Stallone,iPhone XR 128GB - Koralle - Ohne Vertrag,,0,Price or comment missing,STALLONE,no direct listing history; vetted by product lineage
1451177,vetted_product_lineage,0,d1f26a30-114e-4172-ac64-060eb5ec9869,199320,iPXR.Coral.128GB.Good,iPhone XR 128GB - Koralle - Ohne Vertrag,,0,Price or comment missing,GOOD,no direct listing history; vetted by product lineage
1451176,vetted_product_lineage,0,d1f26a30-114e-4172-ac64-060eb5ec9869,199320,iPXR.Coral.128GB.Fair,iPhone XR 128GB - Koralle - Ohne Vertrag,,0,Price or comment missing,FAIR,no direct listing history; vetted by product lineage
1451174,vetted_exact,4,1c738771-4d39-4acf-9b54-52e0a3fad0df,213077,iPXR.Blue.64GB.VeryGood,iPhone XR 64GB - Blau - Ohne Vertrag,,0,Price or comment missing,VERY_GOOD,
1451147,vetted_exact,7,8199595f-76ac-47aa-bea7-1017e1fe0392,161659,iPXR.Black.64GB.VeryGood,iPhone XR 64GB - Schwarz - Ohne Vertrag,,0,Price or comment missing,VERY_GOOD,
1451131,vetted_exact,1,2963532c-c4a6-4482-bba5-11594510123d,199289,iPXR.Black.128GB.VeryGood,iPhone XR 128GB - Schwarz - Ohne Vertrag,,0,Price or comment missing,VERY_GOOD,
1451130,vetted_product_lineage,0,2963532c-c4a6-4482-bba5-11594510123d,199289,iPXR.Black.128GB.Stallone,iPhone XR 128GB - Schwarz - Ohne Vertrag,,0,Price or comment missing,STALLONE,no direct listing history; vetted by product lineage
1451128,vetted_product_lineage,0,2963532c-c4a6-4482-bba5-11594510123d,199289,iPXR.Black.128GB.Fair,iPhone XR 128GB - Schwarz - Ohne Vertrag,,0,Price or comment missing,FAIR,no direct listing history; vetted by product lineage
1451003,vetted_exact,1,8a9d4ab9-46f9-406b-8a10-c18a719cda81,290033,iP11.PRO.SpaceGrey.64GB.Good,iPhone 11 Pro 64GB - Space Grau - Ohne Vertrag,,0,Price or comment missing,GOOD,
1450991,vetted_exact,2,934ce03d-d77d-4ec3-9316-ba84614ad715,290037,iP11.PRO.SpaceGrey.256GB.VeryGood,iPhone 11 Pro 256GB - Space Grau - Ohne Vertrag,,0,Price or comment missing,VERY_GOOD,
1450989,vetted_product_lineage,0,934ce03d-d77d-4ec3-9316-ba84614ad715,290037,iP11.PRO.SpaceGrey.256GB.Stallone,iPhone 11 Pro 256GB - Space Grau - Ohne Vertrag,,0,Price or comment missing,STALLONE,no direct listing history; vetted by product lineage
1450986,vetted_product_lineage,0,934ce03d-d77d-4ec3-9316-ba84614ad715,290037,iP11.PRO.SpaceGrey.256GB.Good,iPhone 11 Pro 256GB - Space Grau - Ohne Vertrag,,0,Price or comment missing,GOOD,no direct listing history; vetted by product lineage
1450985,vetted_product_lineage,0,934ce03d-d77d-4ec3-9316-ba84614ad715,290037,iP11.PRO.SpaceGrey.256GB.Fair,iPhone 11 Pro 256GB - Space Grau - Ohne Vertrag,,0,Price or comment missing,FAIR,no direct listing history; vetted by product lineage
1450959,vetted_product_lineage,0,b35cbbcd-fce1-4dc2-92da-00296472aaf4,290036,iP11.PRO.MidnightGreen.64GB.VeryGood,iPhone 11 Pro 64GB - Nachtgrün - Ohne Vertrag,,0,Price or comment missing,VERY_GOOD,no direct listing history; vetted by product lineage
1450957,vetted_product_lineage,0,b35cbbcd-fce1-4dc2-92da-00296472aaf4,290036,iP11.PRO.MidnightGreen.64GB.Stallone,iPhone 11 Pro 64GB - Nachtgrün - Ohne Vertrag,,0,Price or comment missing,STALLONE,no direct listing history; vetted by product lineage
1450954,vetted_exact,2,b35cbbcd-fce1-4dc2-92da-00296472aaf4,290036,iP11.PRO.MidnightGreen.64GB.Good,iPhone 11 Pro 64GB - Nachtgrün - Ohne Vertrag,,0,Price or comment missing,GOOD,
1450953,vetted_product_lineage,0,b35cbbcd-fce1-4dc2-92da-00296472aaf4,290036,iP11.PRO.MidnightGreen.64GB.Fair,iPhone 11 Pro 64GB - Nachtgrün - Ohne Vertrag,,0,Price or comment missing,FAIR,no direct listing history; vetted by product lineage
1450877,vetted_exact,1,78c89984-2b2f-4a01-abed-5a9ea8205ea0,290058,iP11.White.64GB.VeryGood,iPhone 11 64GB - Weiß - Ohne Vertrag,,0,Price or comment missing,VERY_GOOD,
1450872,vetted_exact,2,78c89984-2b2f-4a01-abed-5a9ea8205ea0,290058,iP11.White.64GB.Good,iPhone 11 64GB - Weiß - Ohne Vertrag,,0,Price or comment missing,GOOD,
1450843,vetted_exact,2,701179ec-a741-4ab7-bdf8-5a08bb59dd90,290060,iP11.Red.64GB.Good,iPhone 11 64GB - Rot - Ohne Vertrag,,0,Price or comment missing,GOOD,
